Subject,Start Date,Start Time,End Date,End Time,Description,Location
Jedi Knights @ Icetronauts,05/05/2026,8:32 PM,05/05/2026,10:02 PM,Jedi Knights (visitor) at Icetronauts (home),Apex West
Bent Twigs @ Jedi Knights,05/12/2026,8:00 PM,05/12/2026,9:30 PM,Bent Twigs (visitor) at Jedi Knights (home),Apex West
ClusterPucks @ Jedi Knights,06/02/2026,7:00 PM,06/02/2026,8:30 PM,ClusterPucks (visitor) at Jedi Knights (home),Apex West
Jedi Knights @ Solar Bears,06/08/2026,8:15 PM,06/08/2026,9:45 PM,Jedi Knights (visitor) at Solar Bears (home),Apex West
Icetronauts @ Jedi Knights,06/16/2026,7:00 PM,06/16/2026,8:30 PM,Icetronauts (visitor) at Jedi Knights (home),Apex West
Jedi Knights @ Bent Twigs,06/22/2026,9:45 PM,06/22/2026,11:15 PM,Jedi Knights (visitor) at Bent Twigs (home),Apex West
Slashers @ Jedi Knights,07/06/2026,9:45 PM,07/06/2026,11:15 PM,Slashers (visitor) at Jedi Knights (home),Apex West
Jedi Knights @ ClusterPucks,07/14/2026,7:00 PM,07/14/2026,8:30 PM,Jedi Knights (visitor) at ClusterPucks (home),Apex West
Solar Bears @ Jedi Knights,07/20/2026,8:15 PM,07/20/2026,9:45 PM,Solar Bears (visitor) at Jedi Knights (home),Apex West
Jedi Knights @ Slashers,07/27/2026,9:45 PM,07/27/2026,11:15 PM,Jedi Knights (visitor) at Slashers (home),Apex West
