Date,Visitor,,Details,,Home,Location
"2026-05-05T20:32:00.000Z","Jedi Knights","Jedi Knights","W 4 - 1","Icetronauts","Icetronauts","Apex West"
"2026-05-12T20:00:00.000Z","Bent Twigs","Bent Twigs","8:00 PM","Jedi Knights","Jedi Knights","Apex West"
"2026-06-02T19:00:00.000Z","ClusterPucks","ClusterPucks","7:00 PM","Jedi Knights","Jedi Knights","Apex West"
"2026-06-08T20:15:00.000Z","Jedi Knights","Jedi Knights","8:15 PM","Solar Bears","Solar Bears","Apex West"
"2026-06-16T19:00:00.000Z","Icetronauts","Icetronauts","7:00 PM","Jedi Knights","Jedi Knights","Apex West"
"2026-06-22T21:45:00.000Z","Jedi Knights","Jedi Knights","9:45 PM","Bent Twigs","Bent Twigs","Apex West"
"2026-07-06T21:45:00.000Z","Slashers","Slashers","9:45 PM","Jedi Knights","Jedi Knights","Apex West"
"2026-07-14T19:00:00.000Z","Jedi Knights","Jedi Knights","7:00 PM","ClusterPucks","ClusterPucks","Apex West"
"2026-07-20T20:15:00.000Z","Solar Bears","Solar Bears","8:15 PM","Jedi Knights","Jedi Knights","Apex West"
"2026-07-27T21:45:00.000Z","Jedi Knights","Jedi Knights","9:45 PM","Slashers","Slashers","Apex West"
